feature1,feature2,feature3,target
0.016645261508339226,0.4363456306148219,0.5755591411250611,0
0.23757193073455207,0.3014726311717204,0.971194654359595,0
0.81140291993884,0.15815848611208483,0.14750871529096554,0
0.42940301976382134,0.8356786425380884,0.44842021172722835,1
0.9865794141179712,0.9866361319044238,0.6836930589783726,1
0.5274782436965901,0.4993788912249948,0.9422619856542607,1
0.7599019318454419,0.04966394195333956,0.07345542164330154,1
0.2001756619126973,0.7915112301241355,0.06376174073016572,1
0.9798579526043347,0.6495514880509986,0.20913951926868357,1
0.17448234690464748,0.7559284920394549,0.194543623510821,0
0.9998174663068962,0.6782245943194005,0.9357476106022022,0
0.7279669299205355,0.46527798841559054,0.16233777504714186,1
0.8752969792081403,0.32668833837256694,0.28853897772787185,1
0.6038775355720603,0.021569832716462067,0.651772490947746,1
0.3078518555114035,0.33642117025177964,0.41152493585088434,1
0.6702303792371423,0.9979618067191974,0.9562648932261406,1
0.7216769515589644,0.9393144987304637,0.9237296021205739,1
0.1955257544494844,0.7497160011804181,0.9319303864684855,1
0.04281039363280137,0.7770666931126127,0.05149385250629779,1
0.7586183734657063,0.048285281649360634,0.7919693344414067,1
0.4675145468137425,0.5392647447043196,0.7154712498086778,1
0.17451505371443898,0.25111872476456365,0.586255359941917,1
0.06522953146443367,0.8090628570220041,0.09046358427138801,1
0.05809792745428255,0.986134091163264,0.0206308813558298,0
0.5424122374590294,0.4611413034934989,0.7761700714274787,1
0.6376209679782255,0.24011642484315832,0.1000833354590831,0
0.8886295921594236,0.3325042876538594,0.4988586852300244,0
0.976458207615572,0.9121145407167963,0.03841520339901905,1
0.9167010995563819,0.10402924955396464,0.23950659066254743,0
0.2819842297785944,0.4903664032085515,0.02971888208463047,1
0.322040971272765,0.6473027347597866,0.12693062577737535,1
0.9625145261519146,0.8785041585206853,0.612161090701455,0
0.09469972782292158,0.927904399404691,0.16237977198995435,1
0.8581939145147718,0.49056896880321477,0.14611101214701638,1
